region_key,median_income
telfair_georgia,44948
terrell_georgia,43812
thomas_georgia,60140
tift_georgia,53165
toombs_georgia,54130
towns_georgia,58400
treutlen_georgia,43750
troup_georgia,54905
turner_georgia,39565
twiggs_georgia,55439
union_georgia,65697
upson_georgia,50904
walker_georgia,55887
walton_georgia,82381
ware_georgia,44833
warren_georgia,46776
washington_georgia,44009
wayne_georgia,49562
webster_georgia,40764
wheeler_georgia,45262
white_georgia,69747
whitfield_georgia,64262
wilcox_georgia,48036
wilkes_georgia,52542
wilkinson_georgia,46673
worth_georgia,57201
hawaii_hawaii,77215
honolulu_hawaii,104264
kalawao_hawaii,86250
kauai_hawaii,93612
maui_hawaii,95076
ada_idaho,88907
adams_idaho,59286
bannock_idaho,64080
bear lake_idaho,67304
benewah_idaho,56553
bingham_idaho,76842
blaine_idaho,84470
boise_idaho,77349
bonner_idaho,65168
bonneville_idaho,76646
boundary_idaho,62438
butte_idaho,43281
camas_idaho,55536
canyon_idaho,72355
caribou_idaho,66653
cassia_idaho,67042
clark_idaho,52083
clearwater_idaho,57961
custer_idaho,56957
elmore_idaho,58976
franklin_idaho,65991
fremont_idaho,72767
gem_idaho,66245
gooding_idaho,62395
idaho_idaho,60975
jefferson_idaho,82952
jerome_idaho,69338
kootenai_idaho,77034
latah_idaho,65179
lemhi_idaho,52057
lewis_idaho,49643
lincoln_idaho,66038
madison_idaho,58259
minidoka_idaho,70060
nez perce_idaho,71466
oneida_idaho,72563
owyhee_idaho,59773
payette_idaho,65723
power_idaho,59760
shoshone_idaho,49975
teton_idaho,90740
twin falls_idaho,65338
valley_idaho,76125
washington_idaho,53608
adams_illinois,64962
alexander_illinois,43523
bond_illinois,61603
boone_illinois,81638
brown_illinois,72288
bureau_illinois,65894
calhoun_illinois,92095
carroll_illinois,60871
cass_illinois,64907
champaign_illinois,63091
christian_illinois,59253
clark_illinois,70625
clay_illinois,57266
clinton_illinois,82314
coles_illinois,56040
cook_illinois,81797
crawford_illinois,67614
cumberland_illinois,69826
dekalb_illinois,69022
de witt_illinois,64802
douglas_illinois,74186
dupage_illinois,110502
edgar_illinois,56909
edwards_illinois,59386
effingham_illinois,75380
fayette_illinois,57113
ford_illinois,60782
franklin_illinois,53471
fulton_illinois,58617
gallatin_illinois,54626
greene_illinois,60976
grundy_illinois,93060
hamilton_illinois,61520
hancock_illinois,65044
hardin_illinois,57155
henderson_illinois,65651
henry_illinois,69912
iroquois_illinois,62439
jackson_illinois,45572
jasper_illinois,71094
jefferson_illinois,61102
jersey_illinois,79104
jo daviess_illinois,74954
johnson_illinois,65203
kane_illinois,100678
kankakee_illinois,68325
kendall_illinois,110474
knox_illinois,53291
lake_illinois,108917
lasalle_illinois,72281
lawrence_illinois,53438
lee_illinois,68459
livingston_illinois,70796
logan_illinois,64188
mcdonough_illinois,50434
mchenry_illinois,102836
mclean_illinois,78329
macon_illinois,62449
macoupin_illinois,68518
madison_illinois,74800
marion_illinois,60839
marshall_illinois,69818
mason_illinois,62127
massac_illinois,62584
menard_illinois,81334
mercer_illinois,71710
monroe_illinois,101635
montgomery_illinois,61863
morgan_illinois,65175
moultrie_illinois,71676
ogle_illinois,79244
peoria_illinois,64938
perry_illinois,59286
piatt_illinois,87516
pike_illinois,58029
pope_illinois,62500
pulaski_illinois,43227
putnam_illinois,77526
randolph_illinois,68870
richland_illinois,60404
rock island_illinois,66768
st. clair_illinois,70178
saline_illinois,54945
sangamon_illinois,74114
schuyler_illinois,66059
scott_illinois,73013
shelby_illinois,68457
stark_illinois,62284
stephenson_illinois,61943
tazewell_illinois,76704
union_illinois,56420
vermilion_illinois,54537
wabash_illinois,53650
warren_illinois,64650
washington_illinois,75652
wayne_illinois,53107
white_illinois,53097
whiteside_illinois,64536
will_illinois,107799
williamson_illinois,65521
winnebago_illinois,64363
woodford_illinois,85629
adams_indiana,63128
allen_indiana,68839
bartholomew_indiana,80365
benton_indiana,61811
blackford_indiana,47560
boone_indiana,104865
brown_indiana,72644
carroll_indiana,64003
cass_indiana,56525
clark_indiana,72298
clay_indiana,67676
clinton_indiana,63690
crawford_indiana,48993
daviess_indiana,68561
dearborn_indiana,82693
decatur_indiana,74228
dekalb_indiana,70080
delaware_indiana,56932
dubois_indiana,71918
elkhart_indiana,65617
fayette_indiana,56659
floyd_indiana,78179
fountain_indiana,62526
franklin_indiana,79702
fulton_indiana,62878
gibson_indiana,67763
grant_indiana,54007
greene_indiana,59753
hamilton_indiana,117957
hancock_indiana,91326
harrison_indiana,72468
hendricks_indiana,99988
henry_indiana,60144
howard_indiana,62496
huntington_indiana,62734
jackson_indiana,70208
jasper_indiana,79634
jay_indiana,54114
jefferson_indiana,59987
jennings_indiana,68476
johnson_indiana,87227
knox_indiana,58863
kosciusko_indiana,73922
lagrange_indiana,83741
